agent_id,queue_id,week_day,hour,minute,timestamp,handling_time
1519,iseagles,2,15,53,1682437989,6
1569,isphoenix,2,15,54,1682438076,335
1127,isessentials,2,15,55,1682438133,12
1505,iseagles,2,15,55,1682438143,40
1517,mgmsdr,2,15,56,1682438217,1
1593,mgmsdr,2,15,57,1682438251,2
1593,mgmsdr,2,15,57,1682438267,3
1573,isnrecuperacao,2,15,58,1682438319,137
1644,mgmsdr,2,15,58,1682438330,89
1505,iseagles,2,16,00,1682438406,38
1528,mgmsales,2,16,01,1682438475,65
1115,isessentials,2,16,01,1682438491,1665
1569,isphoenix,2,16,01,1682438514,605
1590,mgmsales,2,16,03,1682438621,9
1505,iseagles,2,16,05,1682438708,11
1525,isjaguars,2,16,08,1682438899,15
1519,iseagles,2,16,10,1682439018,6
1519,iseagles,2,16,11,1682439082,23
1528,mgmsales,2,16,11,1682439085,4
1528,mgmsales,2,16,11,1682439100,10
1528,mgmsales,2,16,13,1682439229,1
1519,iseagles,2,16,14,1682439252,7
1576,iseagles,2,16,16,1682439409,1
1590,mgmsales,2,16,17,1682439442,8
1525,isjaguars,2,16,18,1682439526,58
1523,isdragons,2,16,20,1682439633,104
1584,isjaguars,2,16,25,1682439953,10
1534,iseagles,2,16,26,1682439975,5
1534,iseagles,2,16,26,1682439999,1
1520,isphoenix,2,16,26,1682440006,79
1534,iseagles,2,16,27,1682440032,3
1140,istigers,2,16,27,1682440040,1617
1586,mgmsdr,2,16,28,1682440099,2
1517,mgmsdr,2,16,30,1682440200,240
1573,isnrecuperacao,2,16,30,1682440251,108
1534,iseagles,2,16,31,1682440310,2
1533,isjaguars,2,16,32,1682440358,232
1115,isessentials,2,16,35,1682440520,1050
1573,isnrecuperacao,2,16,35,1682440549,1
1127,isessentials,2,16,37,1682440623,5
1573,isnrecuperacao,2,16,37,1682440654,1
1523,isdragons,2,16,38,1682440693,5
1600,mgmsales,2,16,38,1682440701,1
1573,isnrecuperacao,2,16,39,1682440762,42
1572,isnxsell,2,16,39,1682440798,2
1572,isnxsell,2,16,40,1682440848,2
1573,isnrecuperacao,2,16,42,1682440934,286
1572,isnxsell,2,16,43,1682440986,2
1572,isnxsell,2,16,43,1682441007,3
1572,isnxsell,2,16,43,1682441025,1
1572,isnxsell,2,16,44,1682441078,215
1517,mgmsdr,2,16,45,1682441109,246
1641,timec,2,16,46,1682441186,10
1580,istigers,2,16,47,1682441234,37
1646,isessentials,2,16,49,1682441369,52
1580,istigers,2,16,50,1682441400,1
1572,isnxsell,2,16,50,1682441415,2
1572,isnxsell,2,16,50,1682441431,4
1572,isnxsell,2,16,50,1682441446,1
1567,mgmsdr,2,16,50,1682441456,660
1517,mgmsdr,2,16,50,1682441459,12
1572,isnxsell,2,16,51,1682441496,5
1572,isnxsell,2,16,51,1682441508,2
1646,isessentials,2,16,51,1682441515,12
1572,isnxsell,2,16,52,1682441524,2
1646,isessentials,2,16,52,1682441567,47
1600,mgmsales,2,16,54,1682441644,9
1572,isnxsell,2,16,54,1682441658,1
1600,mgmsales,2,16,54,1682441693,19
1572,isnxsell,2,16,55,1682441708,2
1572,isnxsell,2,16,55,1682441752,1
1600,mgmsales,2,16,56,1682441782,18
1526,issharks,2,16,58,1682441882,1
1526,issharks,2,16,58,1682441917,9
1518,isngolden,2,16,59,1682441951,195
1646,isessentials,2,16,59,1682441966,2
1643,timec,2,16,59,1682441974,7
1600,mgmsales,2,17,03,1682442183,12
1600,mgmsales,2,17,03,1682442235,1
1646,isessentials,2,17,04,1682442255,4
1526,issharks,2,17,05,1682442334,1
1646,isessentials,2,17,05,1682442354,71
1526,issharks,2,17,06,1682442368,1
1629,isnnadal,2,17,06,1682442390,8
1588,mgmsales,2,17,07,1682442443,684
1517,mgmsdr,2,17,08,1682442508,4
1629,isnnadal,2,17,08,1682442527,470
1567,mgmsdr,2,17,08,1682442536,1
1646,isessentials,2,17,08,1682442539,2
1572,isnxsell,2,17,09,1682442582,3
1572,isnxsell,2,17,10,1682442626,2
1572,isnxsell,2,17,11,1682442668,16
1572,isnxsell,2,17,11,1682442716,330
1567,mgmsdr,2,17,13,1682442799,8
1580,istigers,2,17,13,1682442819,76
1646,isessentials,2,17,17,1682443060,70
1517,mgmsdr,2,17,19,1682443144,30
1588,mgmsales,2,17,19,1682443162,715
1646,isessentials,2,17,20,1682443207,9
1580,istigers,2,17,21,1682443263,1
1517,mgmsdr,2,17,21,1682443278,5
1600,mgmsales,2,17,21,1682443279,564
1574,isdragons,2,17,22,1682443339,86
1580,istigers,2,17,22,1682443369,10
1140,istigers,2,17,22,1682443372,28
1502,isphoenix,2,17,23,1682443423,2
1629,isnnadal,2,17,23,1682443439,27
1551,mgmsales,2,17,24,1682443440,1
1502,isphoenix,2,17,24,1682443458,14
1574,isdragons,2,17,24,1682443459,66
1124,isnxsell,2,17,26,1682443560,480
1635,isnrecuperacao,2,17,26,1682443582,18
1502,isphoenix,2,17,26,1682443596,594
1646,isessentials,2,17,27,1682443629,31
1551,mgmsales,2,17,27,1682443647,103
1511,isphoenix,2,17,28,1682443711,56
1518,isngolden,2,17,29,1682443788,381
1551,mgmsales,2,17,29,1682443792,116
1511,isphoenix,2,17,30,1682443803,1
1635,isnrecuperacao,2,17,31,1682443861,5
1635,isnrecuperacao,2,17,31,1682443888,18
1646,isessentials,2,17,31,1682443889,11
1600,mgmsales,2,17,31,1682443908,4
1517,mgmsdr,2,17,32,1682443946,179
1629,isnnadal,2,17,34,1682444043,21
1600,mgmsales,2,17,34,1682444058,17
1117,isnxsell,2,17,35,1682444133,39
1629,isnnadal,2,17,36,1682444192,17
1511,isphoenix,2,17,36,1682444207,21
1635,isnrecuperacao,2,17,37,1682444224,9
1585,isessentials,2,17,37,1682444268,12
1629,isnnadal,2,17,37,1682444275,458
1585,isessentials,2,17,38,1682444289,15
1635,isnrecuperacao,2,17,38,1682444321,16
1511,isphoenix,2,17,39,1682444365,2
1511,isphoenix,2,17,41,1682444485,15
1627,isnrecuperacao,2,17,41,1682444501,273
1528,mgmsales,2,17,42,1682444562,1
1588,mgmsales,2,17,43,1682444605,728
1517,mgmsdr,2,17,44,1682444648,4
1551,mgmsales,2,17,44,1682444670,10
1635,isnrecuperacao,2,17,46,1682444805,13
1517,mgmsdr,2,17,48,1682444885,1
1518,isngolden,2,17,50,1682445040,10
1528,mgmsales,2,17,50,1682445049,1
1519,iseagles,2,17,53,1682445199,6
1519,iseagles,2,17,55,1682445316,4
1505,iseagles,2,17,55,1682445352,12
1635,isnrecuperacao,2,17,59,1682445545,12
1635,isnrecuperacao,2,17,59,1682445597,27
1511,isphoenix,2,18,00,1682445631,1
1574,isdragons,2,18,01,1682445665,1
1511,isphoenix,2,18,01,1682445670,90
1539,iseagles,2,18,01,1682445684,11
1117,isnxsell,2,18,01,1682445690,2
1117,isnxsell,2,18,01,1682445715,32
1593,mgmsdr,2,18,02,1682445753,1
1127,isessentials,2,18,02,1682445763,8
1117,isnxsell,2,18,02,1682445763,272
1593,mgmsdr,2,18,03,1682445812,4
1649,isjaguars,2,18,03,1682445818,5
1569,isphoenix,2,18,04,1682445847,3
1600,mgmsales,2,18,06,1682446004,38
1561,isnrecuperacao,2,18,06,1682446014,167
1539,iseagles,2,18,07,1682446032,1
1569,isphoenix,2,18,07,1682446045,43
1586,mgmsdr,2,18,07,1682446059,2
1593,mgmsdr,2,18,07,1682446064,3
1586,mgmsdr,2,18,07,1682446076,3
1593,mgmsdr,2,18,08,1682446085,2
1549,isphoenix,2,18,08,1682446089,29
1124,isnxsell,2,18,08,1682446113,1
1600,mgmsales,2,18,08,1682446119,1
1593,mgmsdr,2,18,08,1682446125,244
1600,mgmsales,2,18,09,1682446164,229
1505,iseagles,2,18,09,1682446191,1
1586,mgmsdr,2,18,09,1682446194,1
1586,mgmsdr,2,18,10,1682446210,26
1588,mgmsales,2,18,10,1682446212,6
1545,issharks,2,18,10,1682446224,8
1561,isnrecuperacao,2,18,10,1682446243,176
1586,mgmsdr,2,18,11,1682446260,55
1117,isnxsell,2,18,11,1682446278,780
1569,isphoenix,2,18,13,1682446407,1
1635,isnrecuperacao,2,18,13,1682446415,16
1586,mgmsdr,2,18,13,1682446415,54
1600,mgmsales,2,18,13,1682446425,97
1561,isnrecuperacao,2,18,14,1682446462,370
1569,isphoenix,2,18,14,1682446464,240
1541,ishorus,2,18,14,1682446489,27
